iter	Accuracy	Logloss
419	0.96475	0.275836033
420	0.96425	0.2752737641
421	0.965375	0.2748575708
422	0.966125	0.274397418
423	0.965875	0.2739931893
424	0.965625	0.2735230647
425	0.966125	0.2730236115
426	0.96625	0.2724191308
427	0.9665	0.2721843874
428	0.967125	0.2718033419
429	0.96725	0.2713483746
430	0.96775	0.2708083699
431	0.968	0.270588647
432	0.967625	0.2700251592
433	0.968375	0.269565214
434	0.96875	0.2690996364
435	0.96875	0.2686681869
436	0.968875	0.2681145872
437	0.969	0.2677245387
438	0.968875	0.2671175731
439	0.9695	0.2665122192
440	0.969625	0.2659056642
441	0.970375	0.2655318898
442	0.970625	0.2649802078
443	0.9715	0.2643548541
444	0.97175	0.2636360645
445	0.971875	0.2629911962
446	0.971875	0.2626941124
447	0.9725	0.2622226194
448	0.972625	0.2619591458
449	0.973	0.2613409045
450	0.973125	0.2610636262
451	0.973375	0.2606728349
452	0.9735	0.2599554854
453	0.973375	0.2594025367
454	0.9735	0.2586740746
455	0.973625	0.2583702469
456	0.9745	0.2579088094
457	0.97475	0.257384603
458	0.975125	0.2569915996
459	0.975375	0.2565609868
460	0.975625	0.256108257
461	0.97575	0.2556232088
462	0.97575	0.2552618825
463	0.9755	0.2548887278
464	0.975625	0.2545254206
465	0.97625	0.2540792236
466	0.976875	0.2534700726
467	0.97725	0.2527496545
468	0.977375	0.2521858418
469	0.977875	0.2517891112
470	0.97825	0.2512073534
471	0.97825	0.250730098
472	0.97875	0.250508964
473	0.9785	0.2499433035
474	0.978625	0.2495451433
475	0.97925	0.2491304793
476	0.9795	0.2487157247
477	0.98	0.2483917331
478	0.97975	0.2477635334
479	0.98	0.2475030784
480	0.98	0.2472143537
481	0.98025	0.2468727863
482	0.980875	0.2463351923
483	0.98075	0.2459352435
484	0.981	0.2455113787
485	0.98125	0.2450262443
486	0.9815	0.2446933986
487	0.981625	0.2441434117
488	0.982	0.2437265158
489	0.982	0.2433359181
490	0.982	0.2427403317
491	0.98225	0.2421689495
492	0.982375	0.2418358377
493	0.982375	0.2413951671
494	0.982625	0.2410986596
495	0.9825	0.240732133
496	0.98275	0.2401520544
497	0.983125	0.2396002801
498	0.983	0.2392667269
499	0.982875	0.238757647
